epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,981.886,2.02545,4.57161,2.88572,2.24092,0.70135,0.04289,0.04861,0.01556,0.66442,0.02092,0.01208,0.00296,nan,nan,nan,nan,0.0011288,0.0011288,0.0011288
90,992.355,2.03519,4.56366,2.94655,2.26421,0.33294,0.0944,0.04826,0.01554,0.28509,0.02309,0.0104,0.00271,2.51251,4.94294,3.49857,2.77058,0.0011189,0.0011189,0.0011189
91,1002.76,2.16869,4.61305,3.01424,2.31707,0.42768,0.09909,0.0509,0.01587,0.48153,0.02742,0.01805,0.00402,nan,nan,nan,nan,0.001109,0.001109,0.001109
92,1012.95,2.05607,4.57892,2.89555,2.22382,0.42768,0.09909,0.0509,0.01587,0.48153,0.02742,0.01805,0.00402,nan,nan,nan,nan,0.0010991,0.0010991,0.0010991
93,1023.34,1.99266,4.5023,3.05811,2.18424,0.35167,0.09274,0.0529,0.01478,0.30639,0.03247,0.0206,0.00544,nan,nan,nan,nan,0.0010892,0.0010892,0.0010892
94,1033.58,2.10341,4.46456,2.89209,2.18204,0.34062,0.08998,0.04874,0.01389,0.30068,0.03968,0.02163,0.00613,nan,nan,nan,nan,0.0010793,0.0010793,0.0010793
95,1044.01,2.05439,4.63112,2.93503,2.2357,0.34625,0.08596,0.04962,0.01452,0.30511,0.03535,0.02275,0.00659,nan,nan,nan,nan,0.0010694,0.0010694,0.0010694
96,1054.47,2.09729,4.54293,2.93732,2.26482,0.24992,0.09192,0.04216,0.01163,0.2094,0.03896,0.01796,0.00436,nan,nan,nan,nan,0.0010595,0.0010595,0.0010595
97,1064.89,2.0493,4.48212,2.91317,2.24016,0.249,0.10142,0.05437,0.01539,0.20412,0.03727,0.01991,0.0049,2.40688,4.90846,3.37633,2.72047,0.0010496,0.0010496,0.0010496
98,1075.23,2.04382,4.44974,2.90015,2.17681,0.25621,0.10462,0.06308,0.01812,0.29931,0.03535,0.02099,0.00543,2.34572,4.88771,3.44427,2.63226,0.0010397,0.0010397,0.0010397
99,1085.66,2.13427,4.48154,2.93222,2.25584,0.17349,0.10924,0.06279,0.02012,0.22431,0.03752,0.02633,0.00662,2.33655,4.88526,3.40108,2.61575,0.0010298,0.0010298,0.0010298
100,1097.06,2.1083,4.40799,2.86134,2.19849,0.19541,0.10046,0.05833,0.02052,0.15309,0.06182,0.02885,0.00676,2.36599,4.86222,3.44574,2.62145,0.0010199,0.0010199,0.0010199
101,1108.78,2.04965,4.51099,2.98065,2.22206,0.19541,0.10046,0.05833,0.02052,0.15309,0.06182,0.02885,0.00676,2.36599,4.86222,3.44574,2.62145,0.00101,0.00101,0.00101
102,1120.31,2.03142,4.46722,2.98489,2.22602,0.29732,0.10045,0.06714,0.02126,0.31241,0.05809,0.03168,0.00767,2.39495,4.84967,3.44035,2.66508,0.0010001,0.0010001,0.0010001
103,1131.98,2.12579,4.4534,2.94074,2.22463,0.19892,0.10785,0.06956,0.02377,0.22173,0.04473,0.03135,0.00846,2.34916,4.78514,3.4477,2.62477,0.0009902,0.0009902,0.0009902
104,1143.4,2.14269,4.57576,2.96181,2.2922,0.27344,0.11036,0.06998,0.02424,0.20363,0.05844,0.02958,0.00893,2.34101,4.75825,3.46451,2.62918,0.0009803,0.0009803,0.0009803
105,1155.08,1.99452,4.58337,2.92235,2.20384,0.2741,0.0938,0.0736,0.0232,0.23191,0.04545,0.03397,0.00926,2.36041,4.78703,3.54929,2.65506,0.0009704,0.0009704,0.0009704
106,1165.8,2.11752,4.3845,2.90231,2.24536,0.3497,0.0804,0.07101,0.01979,0.35539,0.0303,0.03341,0.00778,2.46986,4.89564,3.8768,2.75827,0.0009605,0.0009605,0.0009605
107,1176.54,2.04618,4.4976,2.9125,2.23935,0.16508,0.11634,0.06001,0.01654,0.33731,0.02814,0.02621,0.00707,2.55544,4.91405,4.60897,2.81587,0.0009506,0.0009506,0.0009506
108,1186.96,1.98668,4.4843,2.87183,2.18593,0.23585,0.09967,0.049,0.0133,0.22073,0.04545,0.02495,0.00634,2.59113,4.93788,5.18743,2.8678,0.0009407,0.0009407,0.0009407
109,1197.57,2.01678,4.46727,2.87657,2.19407,0.36038,0.1008,0.04795,0.01315,0.34112,0.03074,0.0265,0.00727,2.57997,5.00312,5.60246,2.87358,0.0009308,0.0009308,0.0009308
110,1208.01,2.00447,4.4676,2.80453,2.16485,0.36038,0.1008,0.04795,0.01315,0.34112,0.03074,0.0265,0.00727,2.57997,5.00312,5.60246,2.87358,0.0009209,0.0009209,0.0009209
111,1218.58,2.06267,4.52207,2.96715,2.22312,0.23426,0.09455,0.05179,0.01403,0.32403,0.02814,0.02313,0.00548,2.48307,4.84702,5.41582,2.77386,0.000911,0.000911,0.000911
112,1229.18,2.03915,4.4591,2.83685,2.18747,0.34363,0.08553,0.05531,0.01596,0.32271,0.02814,0.02422,0.00623,2.44002,4.80288,4.88758,2.7243,0.0009011,0.0009011,0.0009011
113,1239.78,2.06077,4.47762,2.94192,2.2349,0.37971,0.08614,0.06177,0.01885,0.59727,0.02814,0.02834,0.00753,2.40342,4.81051,5.58632,2.67344,0.0008912,0.0008912,0.0008912
114,1250.19,1.9775,4.51565,2.75681,2.16421,0.48668,0.0819,0.07041,0.0223,0.44494,0.03539,0.02963,0.00764,2.37023,4.79663,4.95493,2.62321,0.0008813,0.0008813,0.0008813
115,1260.78,1.96594,4.38529,2.82012,2.17801,0.45403,0.08978,0.08413,0.02764,0.42783,0.04646,0.03321,0.00903,2.34682,4.76442,3.76836,2.59847,0.0008714,0.0008714,0.0008714
116,1272.22,1.96872,4.50035,3.00017,2.17881,0.27078,0.10511,0.07753,0.0233,0.33711,0.04827,0.03196,0.00959,2.40524,4.77152,4.02199,2.65508,0.0008615,0.0008615,0.0008615
117,1282.99,2.00404,4.60083,2.82195,2.18915,0.17067,0.09487,0.07551,0.02342,0.2394,0.05368,0.03185,0.00908,2.38069,4.77546,3.65595,2.64507,0.0008516,0.0008516,0.0008516
